,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jobner,26.9667,75.3833,300.83,71,100,2.43,IN,1689284112
1,Sechura,-5.5569,-80.8222,299.59,60,18,7.93,PE,1689284114
2,Port Elizabeth,-33.918,25.5701,289.31,82,0,5.66,ZA,1689284115
3,Longyearbyen,78.2186,15.6401,283.06,66,40,6.17,SJ,1689284115
4,Vorgashor,67.5833,63.95,278.42,64,2,2.22,RU,1689284116
5,Port-aux-Français,-49.35,70.2167,275.81,66,26,17.14,TF,1689284117
6,Huarmey,-10.0681,-78.1522,295.4,74,68,4.61,PE,1689283902
7,Edinburgh of the Seven Seas,-37.0676,-12.3116,286.25,72,83,10.11,SH,1689284118
8,Aasiaat,68.7098,-52.8699,277.29,97,100,5.94,GL,1689284119
9,Nago,26.5881,127.9761,302.39,82,69,7.05,JP,1689284120
10,Albany,42.6001,-73.9662,303.38,62,76,0.89,US,1689283846
11,Grytviken,-54.2811,-36.5092,269.16,76,9,1.38,GS,1689284121
12,Umm Kaddadah,13.6017,26.6876,306.07,33,30,2.54,SD,1689284122
13,Punta Arenas,-53.15,-70.9167,273.21,81,5,2.11,CL,1689283949
14,Cidreira,-30.1811,-50.2056,286.16,86,100,7.33,BR,1689284124
15,Olonkinbyen,70.9221,-8.7187,278.22,99,100,6.19,SJ,1689284125
16,Kingston,17.997,-76.7936,304.95,68,20,10.29,JM,1689284003
17,Lázaro Cárdenas,17.9583,-102.2,303.95,70,8,5.31,MX,1689284127
18,Sarmiento,-45.5882,-69.07,275.91,75,100,1.9,AR,1689284127
19,Uturoa,-16.7333,-151.4333,299.38,79,34,9.33,PF,1689284128
20,Adamstown,-25.066,-130.1015,294.15,77,1,2.1,PN,1689284129
21,Jamestown,42.097,-79.2353,298.72,67,75,5.14,US,1689284111
22,Waitangi,-43.9535,-176.5597,282.49,91,50,1.79,NZ,1689284132
23,Papao,-17.75,-149.55,301.97,71,36,9.85,PF,1689284132
24,Tazovsky,67.4667,78.7,277.24,77,11,2.86,RU,1689284133
25,Callao,-12.0667,-77.15,294.31,73,100,5.14,PE,1689284134
26,Bilibino,68.0546,166.4372,294.24,46,80,0.79,RU,1689284135
27,Puerto Ayora,-0.7393,-90.3518,302.13,86,44,3.13,EC,1689284135
28,Minas de Marcona,-15.2119,-75.1103,287.72,77,9,7.3,PE,1689284136
29,Praia da Vitória,38.7333,-27.0667,295.24,88,75,5.04,PT,1689284137
30,Iqaluit,63.7506,-68.5145,279.0,100,100,4.12,CA,1689284138
31,Badger,64.8,-147.5333,295.92,45,40,0.89,US,1689284138
32,Fort St. John,56.2499,-120.8529,297.09,50,75,3.6,CA,1689283972
33,Wailua Homesteads,22.0669,-159.378,302.59,75,20,6.17,US,1689284140
34,Ola,59.5833,151.2833,285.75,83,64,0.47,RU,1689284140
35,Ciudad Melchor Múzquiz,27.8833,-101.5167,311.96,26,0,3.86,MX,1689284141
36,Vorkuta,67.5,64.0,278.84,66,2,1.96,RU,1689284142
37,Powell River,49.8496,-124.5361,297.61,56,20,4.12,CA,1689284142
38,Ribeira Grande,38.5167,-28.7,294.69,85,77,2.24,PT,1689284143
39,Blackmans Bay,-43.0167,147.3167,288.0,59,72,5.12,AU,1689284144
40,Whitehorse,60.7161,-135.0538,293.76,63,75,3.6,CA,1689284092
41,Isafjordur,66.0755,-23.124,279.65,84,100,6.31,IS,1689284145
42,Anadyr,64.75,177.4833,282.43,93,100,9.0,RU,1689284146
43,Tomatlán,19.9333,-105.25,308.71,48,1,5.73,MX,1689284147
44,Ilulissat,69.2167,-51.1,284.16,76,75,6.17,GL,1689284148
45,Casino,-28.8667,153.05,283.63,81,0,1.17,AU,1689284148
46,Bo`ka,40.8108,69.1986,298.43,22,0,1.96,UZ,1689284149
47,Hermanus,-34.4187,19.2345,285.26,62,3,4.16,ZA,1689284150
48,Susuman,62.7833,148.1667,291.6,75,65,1.89,RU,1689284151
49,New Norfolk,-42.7826,147.0587,288.66,77,92,3.64,AU,1689284212
50,Ceeldheer,3.8488,47.1806,297.66,85,63,7.39,SO,1689284212
51,Alice Springs,-23.7,133.8833,274.9,93,0,0.0,AU,1689284213
52,Jayapura,-2.5333,140.7,296.81,89,100,2.26,ID,1689284193
53,Iskateley,67.6803,53.1512,281.53,74,43,4.05,RU,1689284214
54,Udachny,66.4167,112.4,278.4,60,67,2.14,RU,1689284215
55,Una,20.8167,71.0333,300.42,84,86,4.51,IN,1689284216
56,Newman,37.3138,-121.0208,309.34,10,0,2.51,US,1689284216
57,Avarua,-21.2078,-159.775,300.18,78,16,4.12,CK,1689284217
58,Kalach,50.4258,41.0261,289.89,87,95,3.33,RU,1689284218
59,Taseyevo,57.2169,94.8978,289.07,66,99,0.93,RU,1689284218
60,Crucecita,-28.95,-58.9833,281.84,76,100,3.47,AR,1689284219
61,Chibougamau,49.9168,-74.3659,288.94,88,100,5.14,CA,1689284220
62,Invercargill,-46.4,168.35,283.0,79,83,7.09,NZ,1689284221
63,Lebu,-37.6167,-73.65,281.37,73,100,2.49,CL,1689284221
64,Saint-Joseph,-21.3667,55.6167,293.97,88,49,4.06,RE,1689284222
65,Papatowai,-46.5619,169.4708,282.56,80,80,8.78,NZ,1689284223
66,Coyhaique,-45.5752,-72.0662,276.32,96,100,1.7,CL,1689284224
67,Alenquer,-1.9417,-54.7383,300.8,69,98,0.89,BR,1689284225
68,Kashgar,39.4547,75.9797,299.71,29,0,5.0,CN,1689284226
69,Gaalkacyo,6.7697,47.4308,299.07,60,25,10.45,SO,1689284227
70,San Antonio de Palé,-1.4014,5.6325,296.92,85,69,4.84,GQ,1689284228
71,Klyuchi,52.2667,79.1667,298.58,46,69,2.51,RU,1689284229
72,Saipan,15.1355,145.701,301.84,100,20,8.23,MP,1689284229
73,Shimanovsk,52.0,127.7,293.65,52,3,2.23,RU,1689284230
74,Lycksele,64.5954,18.6735,289.08,63,75,4.12,SE,1689284232
75,Vila Velha,-20.3297,-40.2925,298.12,81,0,4.63,BR,1689284233
76,Aras-asan,8.8908,126.3033,298.48,85,100,2.7,PH,1689284233
77,Merizo Village,13.2658,144.6691,301.46,91,98,8.31,GU,1689284234
78,Polyarny,69.1989,33.4478,285.48,67,100,5.57,RU,1689284235
79,Puerto Natales,-51.7236,-72.4875,271.27,90,50,1.15,CL,1689284236
80,Lihue,21.9789,-159.3672,302.92,67,20,6.17,US,1689284020
81,Ushuaia,-54.8,-68.3,272.32,95,100,2.68,AR,1689284084
82,Muisne,0.6,-80.0333,300.04,82,61,3.85,EC,1689284238
83,Nanao,37.05,136.9667,297.26,94,100,3.52,JP,1689284239
84,Sabang,5.8933,95.3214,301.29,71,99,7.95,ID,1689284240
85,Magway,20.15,94.9167,299.28,81,100,4.12,MM,1689284241
86,Hithadhoo,-0.6,73.0833,300.92,76,96,2.59,MV,1689284241
87,Mersing,2.4312,103.8405,297.1,94,20,2.06,MY,1689284242
88,Kourou,5.1552,-52.6478,300.18,86,60,3.37,GF,1689284243
89,West Island,-12.1568,96.8225,299.14,78,40,6.69,CC,1689284244
90,Punta del Este,-34.9667,-54.95,283.69,77,75,7.6,UY,1689284244
