,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Thompson,55.7435,-97.8558,288.24,88,75,4.12,CA,1689288335
1,Puerto Ayora,-0.7393,-90.3518,302.13,89,39,1.79,EC,1689288336
2,Ribeira Grande,38.5167,-28.7,294.14,87,63,2.68,PT,1689288337
3,Port-aux-Français,-49.35,70.2167,275.8,63,33,16.76,TF,1689288338
4,Tura,25.5198,90.2201,296.43,99,100,2.57,IN,1689288339
5,El Bauga,18.262,33.9081,305.08,17,83,5.32,SD,1689288340
6,Cabedelo,-6.9811,-34.8339,297.52,78,0,3.91,BR,1689288158
7,Blackmans Bay,-43.0167,147.3167,287.44,64,76,4.11,AU,1689288341
8,Ad Dabbah,18.05,30.95,306.93,17,68,6.23,SD,1689288342
9,Margaret River,-33.95,115.0667,284.73,72,95,7.11,AU,1689288342
10,Ilhabela,-23.7781,-45.3581,293.11,73,0,5.35,BR,1689288343
11,Lethem,3.3803,-59.7968,299.41,78,41,0.5,GY,1689288344
12,Naryan-Mar,67.6713,53.087,281.66,74,55,3.95,RU,1689288345
13,Qaqortoq,60.7167,-46.0333,279.75,80,100,2.72,GL,1689288346
14,Longyearbyen,78.2186,15.6401,283.06,66,40,7.2,SJ,1689288346
15,Acapulco de Juárez,16.8634,-99.8901,305.05,70,20,6.17,MX,1689288347
16,Ushuaia,-54.8,-68.3,277.96,60,20,2.06,AR,1689288348
17,Anadyr,64.75,177.4833,282.43,93,100,6.0,RU,1689288349
18,Nālūt,30.3333,10.85,301.97,18,0,4.26,LY,1689288349
19,Lebu,-37.6167,-73.65,281.18,73,100,2.52,CL,1689288350
20,Bandar Lampung,-5.4254,105.258,297.29,93,100,2.98,ID,1689288351
21,Brookings,44.3114,-96.7984,301.03,63,20,4.12,US,1689288351
22,Edinburgh of the Seven Seas,-37.0676,-12.3116,286.29,72,80,10.11,SH,1689288352
23,Grytviken,-54.2811,-36.5092,268.97,75,8,1.51,GS,1689288353
24,Chingirlau,51.095,54.0814,286.25,64,7,3.87,KZ,1689288354
25,Waitangi,-43.9535,-176.5597,281.94,90,56,4.47,NZ,1689288354
26,Albany,42.6001,-73.9662,301.58,88,68,1.04,US,1689288264
27,Aasiaat,68.7098,-52.8699,277.11,98,100,4.54,GL,1689288356
